# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   91       3.070968784917e-10       7.561548900188e-14      -1.929781334866e-12       0.000000000000e+00       1.457779385369e-11       1.260460150617e-12      -7.278105092715e-15 
   92       3.106963085891e-10       7.758357525875e-14      -2.007311107740e-12       0.000000000000e+00       1.418047909326e-11       1.235348729279e-12      -7.228025856103e-15 
   93       3.143230388309e-10       7.955616489823e-14      -2.085679824950e-12       0.000000000000e+00       1.379569030065e-11       1.210916982965e-12      -7.178450927286e-15 
   94       3.179773443220e-10       8.153176663710e-14      -2.164841486211e-12       0.000000000000e+00       1.342325253078e-11       1.187160868692e-12      -7.128855974029e-15 
   95       3.216596277157e-10       8.350888439067e-14      -2.244747043571e-12       0.000000000000e+00       1.306323715247e-11       1.164089718697e-12      -7.079273410425e-15 
   96       3.253701456643e-10       8.548599011472e-14      -2.325346028435e-12       0.000000000000e+00       1.271560500224e-11       1.141706162997e-12      -7.029721378148e-15 
   97       3.291090018870e-10       8.746152393297e-14      -2.406586555514e-12       0.000000000000e+00       1.238020214647e-11       1.120005864115e-12      -6.980203123487e-15 
   98       3.328761402366e-10       8.943389426443e-14      -2.488415326783e-12       0.000000000000e+00       1.205675564361e-11       1.098977251814e-12      -6.930706374368e-15 
   99       3.366713377665e-10       9.140147795083e-14      -2.570777635423e-12       0.000000000000e+00       1.174486930638e-11       1.078601257825e-12      -6.881202717388e-15 
  100       3.404941977983e-10       9.336262038403e-14      -2.653617369781e-12       0.000000000000e+00       1.144401946391e-11       1.058851050584e-12      -6.831646974844e-15 
  101       3.443441429881e-10       9.531563563343e-14      -2.736877017315e-12       0.000000000000e+00       1.115355072398e-11       1.039691769952e-12      -6.781976581758e-15 
  102       3.482204083942e-10       9.725880657339e-14      -2.820497668549e-12       0.000000000000e+00       1.087267173516e-11       1.021080261958e-12      -6.732110962906e-15 
  103       3.521220345439e-10       9.919038501060e-14      -2.904419021020e-12       0.000000000000e+00       1.060045094901e-11       1.002964813520e-12      -6.681950909849e-15 
  104       3.560481073106e-10       1.011086318339e-13      -2.988580550079e-12       0.000000000000e+00       1.033602816908e-11       9.852973334638e-13      -6.631406944297e-15 
  105       3.599985293811e-10       1.030119433664e-13      -3.072925192898e-12       0.000000000000e+00       1.007929087139e-11       9.680723409084e-13      -6.580490113568e-15 
  106       3.639733405626e-10       1.048987423983e-13      -3.157396171800e-12       0.000000000000e+00       9.830281769769e-12       9.512927736236e-13      -6.529232355972e-15 
  107       3.679724761089e-10       1.067674402498e-13      -3.241935888422e-12       0.000000000000e+00       9.588989343507e-12       9.349578851140e-13      -6.477658308972e-15 
  108       3.719957624998e-10       1.086164373377e-13      -3.326485940492e-12       0.000000000000e+00       9.355345970789e-12       9.190631161221e-13      -6.425785004738e-15 
  109       3.760429132205e-10       1.104441237428e-13      -3.410987138602e-12       0.000000000000e+00       9.129226062178e-12       9.035999661316e-13      -6.373621565710e-15 
  110       3.801135245405e-10       1.122488797773e-13      -3.495379522981e-12       0.000000000000e+00       8.910444194081e-12       8.885558648703e-13      -6.321168900159e-15 
  111       3.842070712933e-10       1.140290765517e-13      -3.579602380265e-12       0.000000000000e+00       8.698753242224e-12       8.739140438137e-13      -6.268419397743e-15 
  112       3.883229026555e-10       1.157830765424e-13      -3.663594260278e-12       0.000000000000e+00       8.493842515112e-12       8.596534076872e-13      -6.215356625072e-15 
  113       3.924602379259e-10       1.175092341583e-13      -3.747292992799e-12       0.000000000000e+00       8.295335887509e-12       8.457484059702e-13      -6.161955021262e-15 
  114       3.966181623052e-10       1.192058963089e-13      -3.830635704341e-12       0.000000000000e+00       8.102789933899e-12       8.321689043984e-13      -6.108179593499e-15 
  115       4.007956226747e-10       1.208714029707e-13      -3.913558834918e-12       0.000000000000e+00       7.915692061958e-12       8.188800564674e-13      -6.053985612597e-15 
  116       4.049916025716e-10       1.225041287642e-13      -3.995998724068e-12       0.000000000000e+00       7.733573131017e-12       8.058505831358e-13      -5.999337118978e-15 
  117       4.092056802710e-10       1.241026122066e-13      -4.077893413857e-12       0.000000000000e+00       7.556364831536e-12       7.930790286823e-13      -5.944265644024e-15 
  118       4.134375309461e-10       1.256654433119e-13      -4.159181097605e-12       0.000000000000e+00       7.384082453417e-12       7.805704706266e-13      -5.888818089677e-15 
  119       4.176867509360e-10       1.271912249073e-13      -4.239799591825e-12       0.000000000000e+00       7.216713443877e-12       7.683283435962e-13      -5.833038420205e-15 
  120       4.219528551094e-10       1.286785735632e-13      -4.319686358030e-12       0.000000000000e+00       7.054216553162e-12       7.563543851725e-13      -5.776967524091e-15 
  121       4.262352742286e-10       1.301261205229e-13      -4.398778524540e-12       0.000000000000e+00       6.896520980261e-12       7.446485817370e-13      -5.720643075900e-15 
  122       4.305333523127e-10       1.315325126324e-13      -4.477012908289e-12       0.000000000000e+00       6.743525518626e-12       7.332091143172e-13      -5.664099398159e-15 
  123       4.348463440019e-10       1.328964132702e-13      -4.554326036630e-12       0.000000000000e+00       6.595097701878e-12       7.220323044330e-13      -5.607367323236e-15 
  124       4.391734119204e-10       1.342165032772e-13      -4.630654169146e-12       0.000000000000e+00       6.451072949531e-12       7.111125599428e-13      -5.550474055211e-15 
  125       4.435136240407e-10       1.354914818864e-13      -4.705933319451e-12       0.000000000000e+00       6.311253712703e-12       7.004423208897e-13      -5.493443031757e-15 
  126       4.478659510472e-10       1.367200676527e-13      -4.780099277000e-12       0.000000000000e+00       6.175408619832e-12       6.900120053473e-13      -5.436293786015e-15 
  127       4.522292636993e-10       1.379009993828e-13      -4.853087628897e-12       0.000000000000e+00       6.043271622390e-12       6.798099552664e-13      -5.379041808469e-15 
  128       4.566023301959e-10       1.390330370650e-13      -4.924833781698e-12       0.000000000000e+00       5.914541140599e-12       6.698223823209e-13      -5.321698408827e-15 
  129       4.609839609325e-10       1.401150021057e-13      -4.995273683177e-12       0.000000000000e+00       5.788945030136e-12       6.600365018003e-13      -5.264271660077e-15 
  130       4.653734663283e-10       1.411459010544e-13      -5.064346030827e-12       0.000000000000e+00       5.666445354657e-12       6.504504380127e-13      -5.206769641152e-15 
  131       4.697702444752e-10       1.421248172719e-13      -5.131990347971e-12       0.000000000000e+00       5.547054567221e-12       6.410643082356e-13      -5.149197290624e-15 
  132       4.741736366798e-10       1.430508740392e-13      -5.198146332074e-12       0.000000000000e+00       5.430771323414e-12       6.318771010416e-13      -5.091555227306e-15 
  133       4.785829258815e-10       1.439232357688e-13      -5.262753881559e-12       0.000000000000e+00       5.317580098055e-12       6.228866449571e-13      -5.033839619875e-15 
  134       4.829973350714e-10       1.447411092156e-13      -5.325753122621e-12       0.000000000000e+00       5.207450801908e-12       6.140895771207e-13      -4.976042056490e-15 
  135       4.874160257100e-10       1.455037446883e-13      -5.387084436046e-12       0.000000000000e+00       5.100338398379e-12       6.054813119422e-13      -4.918149414410e-15 
  136       4.918380961463e-10       1.462104372598e-13      -5.446688484020e-12       0.000000000000e+00       4.996182520232e-12       5.970560097612e-13      -4.860143729622e-15 
  137       4.962625800356e-10       1.468605279792e-13      -5.504506236950e-12       0.000000000000e+00       4.894907086287e-12       5.888065455052e-13      -4.802002066451e-15 
  138       5.006884447580e-10       1.474534050819e-13      -5.560479000278e-12       0.000000000000e+00       4.796419918131e-12       5.807244773492e-13      -4.743696387189e-15 
  139       5.051145898371e-10       1.479885052016e-13      -5.614548441292e-12       0.000000000000e+00       4.700612356820e-12       5.728000153735e-13      -4.685193421710e-15 
  140       5.095398453578e-10       1.484653145806e-13      -5.666656615950e-12       0.000000000000e+00       4.607358879590e-12       5.650219902227e-13      -4.626454537093e-15 
  141       5.139629703853e-10       1.488833702814e-13      -5.716745995685e-12       0.000000000000e+00       4.516516716559e-12       5.573778217646e-13      -4.567435607238e-15 
  142       5.183826513829e-10       1.492422613975e-13      -5.764759494230e-12       0.000000000000e+00       4.427925467436e-12       5.498534877482e-13      -4.508086882494e-15 
  143       5.227975006308e-10       1.495416302645e-13      -5.810640494426e-12       0.000000000000e+00       4.341406718225e-12       5.424334924630e-13      -4.448352859270e-15 
  144       5.272061800155e-10       1.497811992120e-13      -5.854333480719e-12       0.000000000000e+00       4.256801533849e-12       5.351045585518e-13      -4.388194145345e-15 
  145       5.316077894922e-10       1.499608512339e-13      -5.895785950300e-12       0.000000000000e+00       4.174087911044e-12       5.278671788167e-13      -4.327655760489e-15 
  146       5.360015140910e-10       1.500805596104e-13      -5.934946742227e-12       0.000000000000e+00       4.093274230030e-12       5.207251489898e-13      -4.266805352869e-15 
  147       5.403865011317e-10       1.501403644271e-13      -5.971765478697e-12       0.000000000000e+00       4.014362254201e-12       5.136819369859e-13      -4.205711804068e-15 
  148       5.447618593622e-10       1.501403739329e-13      -6.006192595341e-12       0.000000000000e+00       3.937346964510e-12       5.067406729587e-13      -4.144445225116e-15 
  149       5.491266580976e-10       1.500807658979e-13      -6.038179371520e-12       0.000000000000e+00       3.862216393853e-12       4.999041393568e-13      -4.083076952523e-15 
  150       5.534799263591e-10       1.499617889714e-13      -6.067677960622e-12       0.000000000000e+00       3.788951461449e-12       4.931747609800e-13      -4.021679544313e-15 
  151       5.578206520126e-10       1.497837640394e-13      -6.094641420357e-12       0.000000000000e+00       3.717525807231e-12       4.865545950348e-13      -3.960326776053e-15 
  152       5.621477809083e-10       1.495470855830e-13      -6.119023743053e-12       0.000000000000e+00       3.647905626223e-12       4.800453211912e-13      -3.899093636889e-15 
  153       5.664602160188e-10       1.492522230357e-13      -6.140779885955e-12       0.000000000000e+00       3.580049502928e-12       4.736482316384e-13      -3.838056325573e-15 
  154       5.707568165784e-10       1.488997221416e-13      -6.159865801518e-12       0.000000000000e+00       3.513908245708e-12       4.673642211409e-13      -3.777292246500e-15 
  155       5.750363972221e-10       1.484902063131e-13      -6.176238467707e-12       0.000000000000e+00       3.449424721173e-12       4.611937770948e-13      -3.716880005740e-15 
  156       5.792977271241e-10       1.480243779889e-13      -6.189855918287e-12       0.000000000000e+00       3.386533688558e-12       4.551369695836e-13      -3.656899407065e-15 
  157       5.835395291371e-10       1.475030199918e-13      -6.200677273126e-12       0.000000000000e+00       3.325161634115e-12       4.491934414345e-13      -3.597431447987e-15 
  158       5.877604789309e-10       1.469269968864e-13      -6.208662768488e-12       0.000000000000e+00       3.265226605490e-12       4.433623982744e-13      -3.538558315788e-15 
  159       5.919592041316e-10       1.462972563373e-13      -6.213773787328e-12       0.000000000000e+00       3.206638046108e-12       4.376425985861e-13      -3.480363383552e-15 
  160       5.961342834601e-10       1.456148304666e-13      -6.215972889592e-12       0.000000000000e+00       3.149296629559e-12       4.320323437642e-13      -3.422931206197e-15 
