# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       6.938737002177e+13       1.570121599697e-25       6.679329089820e-09       1.038634150381e+22       1.750373107763e+04       2.522610537355e-10       1.214537865045e+18       3.857067166526e-09       6.378238859265e+43       8.319826863865e+32       2.232235477804e+33       4.198487453156e-08       4.409370123796e+43       1.078760898337e+44       1.078760898337e+44       3.595869661020e+43      -2.153010283619e+52       1.806694661864e-05       1.155447795454e+00 
       6.864552076686e+13       1.604241451215e-25       6.752088665962e-09       1.016543932840e+22       1.750373107763e+04       2.549872283302e-10       1.201552735187e+18       3.898750329124e-09       6.109812577545e+43       8.055817527920e+32       2.161400950137e+33       4.198487453156e-08       4.223803096099e+43       1.033361567394e+44       1.033361567394e+44       3.444538557881e+43      -2.040351494653e+52       1.829133602431e-05       1.141273311777e+00 
       6.791160293113e+13       1.639102751806e-25       6.824848242104e-09       9.949235416681e+21       1.750373107763e+04       2.577428645791e-10       1.188706434757e+18       3.940883959929e-09       5.852682935902e+43       7.800185881873e+32       2.092814182781e+33       4.198487453156e-08       4.046045601464e+43       9.898728537654e+43       9.898728537654e+43       3.299576179122e+43      -1.933587708990e+52       1.851572542998e-05       1.127442385153e+00 
       6.718553171646e+13       1.674721612516e-25       6.901245797053e-09       9.737629843501e+21       1.750373107763e+04       2.605282808730e-10       1.175997479472e+18       3.983472927087e-09       5.606374518605e+43       7.552666080245e+32       2.026403848565e+33       4.198487453156e-08       3.875768978021e+43       9.482143496904e+43       9.482143496904e+43       3.160714498875e+43      -1.832410463665e+52       1.874011483566e-05       1.113942674573e+00 
       6.646722323137e+13       1.711114496642e-25       6.974005373195e-09       9.530524808978e+21       1.750373107763e+04       2.633437990436e-10       1.163424400919e+18       4.026522151436e-09       5.370431917652e+43       7.313000713516e+32       1.962100883711e+33       4.198487453156e-08       3.712658395534e+43       9.083090313455e+43       9.083090313455e+43       3.027696771062e+43      -1.736527436401e+52       1.896450424134e-05       1.100762423131e+00 
       6.575659448129e+13       1.748298223642e-25       7.050402928144e-09       9.327824593289e+21       1.750373107763e+04       2.661897444006e-10       1.150985746381e+18       4.070036606935e-09       5.144418890750e+43       7.080940540422e+32       1.899838416013e+33       4.198487453156e-08       3.556412273305e+43       8.700831164316e+43       8.700831164316e+43       2.900277054685e+43      -1.645661601027e+52       1.918889364702e-05       1.087890423829e+00 
       6.505356335897e+13       1.786289979301e-25       7.126800483093e-09       9.129435512428e+21       1.750373107763e+04       2.690664457693e-10       1.138680078677e+18       4.114021321323e-09       4.927917554735e+43       6.856244228764e+32       1.839551695289e+33       4.198487453156e-08       3.406741722570e+43       8.334659277558e+43       8.334659277558e+43       2.778219759102e+43      -1.559550427091e+52       1.941328305271e-05       1.075315987826e+00 
       6.435804863501e+13       1.825107322847e-25       7.203198038042e-09       8.935265874912e+21       1.750373107763e+04       2.719742355287e-10       1.126505975988e+18       4.158481376678e-09       4.720527612930e+43       6.638678104429e+32       1.781178026046e+33       4.198487453156e-08       3.263370012362e+43       7.983897625537e+43       7.983897625537e+43       2.661299208431e+43      -1.477945121356e+52       1.963767245839e-05       1.063028914824e+00 
       6.366996994847e+13       1.864768194342e-25       7.279595592991e-09       8.745225939401e+21       1.750373107763e+04       2.749134496497e-10       1.114462031699e+18       4.203421909968e-09       4.521865615026e+43       6.428015908379e+32       1.724656702279e+33       4.198487453156e-08       3.126032057854e+43       7.647897673117e+43       7.647897673117e+43       2.549299224293e+43      -1.400609908981e+52       1.986206186408e-05       1.051019465463e+00 
       6.298924779757e+13       1.905290925128e-25       7.359631126747e-09       8.559227873218e+21       1.750373107763e+04       2.778844277341e-10       1.102546854231e+18       4.248848113732e-09       4.331564248103e+43       6.224038561352e+32       1.669928944340e+33       4.198487453156e-08       2.994473930236e+43       7.326038178568e+43       7.326038178568e+43       2.442012726113e+43      -1.327321352322e+52       2.008645126978e-05       1.039278335599e+00 
